ID,Username_gb,CreateDate_gb,Biased_gb,Keyword_gb,Text_gb,Predicted_gb,Username_rf,CreateDate_rf,Biased_rf,Keyword_rf,Text_rf,Predicted_rf,Username,CreateDate,Biased,Keyword,Text,Predicted
1202822653293150209,DerorCurrency,2019-12-06 05:30:42+00:00,1,ZioNazi,"Tell me again how Judaism is not ZioNazism.  ""It's an evil society. Carpet bomb the lot of them.""  Rabbi David Bar-Hayim  https://t.co/h6tbHGb7pC",1,DerorCurrency,2019-12-06 05:30:42+00:00,1,ZioNazi,"Tell me again how Judaism is not ZioNazism.  ""It's an evil society. Carpet bomb the lot of them.""  Rabbi David Bar-Hayim  https://t.co/h6tbHGb7pC",1,DerorCurrency,2019-12-06 05:30:42+00:00,1,ZioNazi,"Tell me again how Judaism is not ZioNazism.  ""It's an evil society. Carpet bomb the lot of them.""  Rabbi David Bar-Hayim  https://t.co/h6tbHGb7pC",1
1345103086180855811,EricMoLevesque,2021-01-01 20:22:21+00:00,1,Israel,"Israel is imposing an apartheid regime, denying Palestinians their right to self-determination. Global civil society groups are calling on @UN_PGA to act for justice. #UNInvestigateApartheid #SanctionsOnApartheid\n\nRead their call https://t.co/oc1FORozED https://t.co/l20HUkchA7",1,EricMoLevesque,2021-01-01 20:22:21+00:00,1,Israel,"Israel is imposing an apartheid regime, denying Palestinians their right to self-determination. Global civil society groups are calling on @UN_PGA to act for justice. #UNInvestigateApartheid #SanctionsOnApartheid\n\nRead their call https://t.co/oc1FORozED https://t.co/l20HUkchA7",1,EricMoLevesque,2021-01-01 20:22:21+00:00,1,Israel,"Israel is imposing an apartheid regime, denying Palestinians their right to self-determination. Global civil society groups are calling on @UN_PGA to act for justice. #UNInvestigateApartheid #SanctionsOnApartheid\n\nRead their call https://t.co/oc1FORozED https://t.co/l20HUkchA7",1
1234548498915155968,GrayAngel81,2020-03-02 18:37:53+00:00,1,Israel,Netanyahu's israel is the same as Gantz's israel; everyone is zionist [Joint List aside] &amp; the issue of israel's apartheid is not up for debate https://t.co/oeMDTMupMF,1,GrayAngel81,2020-03-02 18:37:53+00:00,1,Israel,Netanyahu's israel is the same as Gantz's israel; everyone is zionist [Joint List aside] &amp; the issue of israel's apartheid is not up for debate https://t.co/oeMDTMupMF,1,GrayAngel81,2020-03-02 18:37:53+00:00,1,Israel,Netanyahu's israel is the same as Gantz's israel; everyone is zionist [Joint List aside] &amp; the issue of israel's apartheid is not up for debate https://t.co/oeMDTMupMF,1
1228143125643714561,Suket_T3k1,2020-02-14 02:25:13+00:00,1,ZioNazi,"#Apartheid zionazist...\nEthnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..\nIsrael is copying South Africa very well\n\n#SobatPalestinaINA \n#BelaBaitulMaqdis_AlQuds\nhttps://t.co/JXXuu7oas7",1,Suket_T3k1,2020-02-14 02:25:13+00:00,1,ZioNazi,"#Apartheid zionazist...\nEthnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..\nIsrael is copying South Africa very well\n\n#SobatPalestinaINA \n#BelaBaitulMaqdis_AlQuds\nhttps://t.co/JXXuu7oas7",1,Suket_T3k1,2020-02-14 02:25:13+00:00,1,ZioNazi,"#Apartheid zionazist...\nEthnic cleansing, land seizure, home demolition, military occupation, bombing of Gaza..\nIsrael is copying South Africa very well\n\n#SobatPalestinaINA \n#BelaBaitulMaqdis_AlQuds\nhttps://t.co/JXXuu7oas7",1
1117756487558991872,Belle_Palestine,2019-04-15 11:48:08+00:00,1,ZioNazi,It�s only zionazi terrorism ... https://t.co/qMF5EZNrvI,1,Belle_Palestine,2019-04-15 11:48:08+00:00,1,ZioNazi,It�s only zionazi terrorism ... https://t.co/qMF5EZNrvI,1,Belle_Palestine,2019-04-15 11:48:08+00:00,1,ZioNazi,It�s only zionazi terrorism ... https://t.co/qMF5EZNrvI,1
1164126514780213248,hazem1973,2019-08-21 10:46:04+00:00,1,ZioNazi,According to ZioNazis in order for you NOT to be anti Semitic you have to support israels murder of Palestinian ch https://t.co/mXNQQjrsKl,1,hazem1973,2019-08-21 10:46:04+00:00,1,ZioNazi,According to ZioNazis in order for you NOT to be anti Semitic you have to support israels murder of Palestinian ch https://t.co/mXNQQjrsKl,1,hazem1973,2019-08-21 10:46:04+00:00,1,ZioNazi,According to ZioNazis in order for you NOT to be anti Semitic you have to support israels murder of Palestinian ch https://t.co/mXNQQjrsKl,1
1097441242647068673,MuzafferMuzzy49,2019-02-18 10:22:36+00:00,1,ZioNazi,Zionazi terorist bastard https://t.co/CCZOomGg8a,1,MuzafferMuzzy49,2019-02-18 10:22:36+00:00,1,ZioNazi,Zionazi terorist bastard https://t.co/CCZOomGg8a,1,MuzafferMuzzy49,2019-02-18 10:22:36+00:00,1,ZioNazi,Zionazi terorist bastard https://t.co/CCZOomGg8a,1
1237254370284187648,leaderless_one,2020-03-10 05:50:03+00:00,1,ZioNazi,@EricJRacy @rosen_steve @JvpAction @jvplive @ACLUaz ZioNazi in the house!,1,leaderless_one,2020-03-10 05:50:03+00:00,1,ZioNazi,@EricJRacy @rosen_steve @JvpAction @jvplive @ACLUaz ZioNazi in the house!,1,leaderless_one,2020-03-10 05:50:03+00:00,1,ZioNazi,@EricJRacy @rosen_steve @JvpAction @jvplive @ACLUaz ZioNazi in the house!,1
1150762917798785024,Say_Non_Now,2019-07-15 13:43:54+00:00,1,ZioNazi,We all know that Lindsay and her �friends� are all a bunch of Warmongering ZioNAZI plants that put Israel over America.\n\n#AbolishAIPAC\n\n#AuditTheFED https://t.co/0X8gKJGEIn https://t.co/hvxiCN4LXk,1,Say_Non_Now,2019-07-15 13:43:54+00:00,1,ZioNazi,We all know that Lindsay and her �friends� are all a bunch of Warmongering ZioNAZI plants that put Israel over America.\n\n#AbolishAIPAC\n\n#AuditTheFED https://t.co/0X8gKJGEIn https://t.co/hvxiCN4LXk,1,Say_Non_Now,2019-07-15 13:43:54+00:00,1,ZioNazi,We all know that Lindsay and her �friends� are all a bunch of Warmongering ZioNAZI plants that put Israel over America.\n\n#AbolishAIPAC\n\n#AuditTheFED https://t.co/0X8gKJGEIn https://t.co/hvxiCN4LXk,1
1240753870206152704,laotraneta,2020-03-19 21:35:49+00:00,1,ZioNazi,@domenictiso4 @RightWingWatch Jewchristian zionazis sects!,1,laotraneta,2020-03-19 21:35:49+00:00,1,ZioNazi,@domenictiso4 @RightWingWatch Jewchristian zionazis sects!,1,laotraneta,2020-03-19 21:35:49+00:00,1,ZioNazi,@domenictiso4 @RightWingWatch Jewchristian zionazis sects!,1
